,occurrenceID,scientificName,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,country,locality,waterBody,eventDate,depth,minimumDepthInMeters,maximumDepthInMeters,sst,sss,basisOfRecord,individualCount,establishmentMeans,redlist_category,institutionCode,recordedBy
0,IO/DV/CAR/00127,Harpiliopsis depressa,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Harpiliopsis,Harpiliopsis depressa,10.86,72.18,India,"Agatti Island, Lakshadweep",Arabian Sea,2018-03-05,6.0,2.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
1,IO/DV/CAR/00128,Saron marmoratus,Animalia,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Saron,Saron marmoratus,10.86,72.18,India,"Agatti Island, Lakshadweep",Arabian Sea,2018-03-05,6.0,2.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
2,IO/DV/CAR/00129,Coralliocaris superba,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Coralliocaris,Coralliocaris superba,10.86,72.18,India,"Agatti Island, Lakshadweep",Arabian Sea,2018-03-05,6.0,2.0,10.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
3,IO/DV/CAR/00130,Coralliocaris superba,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Coralliocaris,Coralliocaris superba,10.86,72.18,India,"Agatti Island, Lakshadweep",Arabian Sea,2018-03-05,6.0,2.0,10.0,28.79,35.23,Preservedspecimen,3,Unclassified,,CMLRE,
4,IO/DV/ECD/00232,Ophiomastix elegans,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiomastix,Ophiomastix elegans,10.861,72.21,India,"Agatti, Lakshadweep",Arabian Sea,,24.0,24.0,24.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
5,IO/DV/ECD/00233,Ophiarachnella septemspinosa,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiodermatidae,Ophiarachnella,Ophiarachnella septemspinosa,10.866,72.207,India,"Agatti, Lakshadweep",Arabian Sea,2019-06-11,20.0,20.0,20.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
6,IO/DV/ECD/00315,Ophiothrix (Acanthophiothrix) purpurea,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,Ophiothrix (Acanthophiothrix) purpurea,10.866,72.207,India,"Agatti, Lakshadweep",Arabian Sea,2019-06-11,20.0,20.0,20.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
7,IO/DV/ECD/00336,Ophiomastix elegans,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiomastix,Ophiomastix elegans,10.866,72.207,India,"Agatti, Lakshadweep",Arabian Sea,2019-06-11,20.0,20.0,20.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
8,IO/DV/ECD/00350,Himerometra robustipinna,Animalia,Echinodermata,Crinoidea,Comatulida,Himerometridae,Himerometra,Himerometra robustipinna,10.861,72.21,India,"Agatti, Lakshadweep",Arabian Sea,,24.0,24.0,24.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
9,IO/DV/ECD/00351,Dichrometra palmata,Animalia,Echinodermata,Crinoidea,Comatulida,Mariametridae,Dichrometra,Dichrometra palmata,10.861,72.21,India,"Agatti, Lakshadweep",Arabian Sea,,24.0,24.0,24.0,28.79,35.23,Preservedspecimen,2,Unclassified,,CMLRE,
10,IO/DV/ECD/00352,Comanthus wahlbergii,Animalia,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comanthus,Comanthus wahlbergii,10.861,72.21,India,"Agatti, Lakshadweep",Arabian Sea,,24.0,24.0,24.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
11,IO/DV/ECD/00353,Comaster schlegelii,Animalia,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comaster,Comaster schlegelii,10.869,72.206,India,"Agatti, Lakshadweep",Arabian Sea,2018-10-11,28.0,28.0,28.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
12,IO/DV/ECD/00354,Himerometra robustipinna,Animalia,Echinodermata,Crinoidea,Comatulida,Himerometridae,Himerometra,Himerometra robustipinna,10.869,72.206,India,"Agatti, Lakshadweep",Arabian Sea,2018-10-11,28.0,28.0,28.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
13,IO/DV/ECD/00355,Dichrometra palmata,Animalia,Echinodermata,Crinoidea,Comatulida,Mariametridae,Dichrometra,Dichrometra palmata,10.869,72.206,India,"Agatti, Lakshadweep",Arabian Sea,2018-10-11,21.0,21.0,21.0,28.79,35.23,Preservedspecimen,1,Unclassified,,CMLRE,
