Species/Group,Landings (tonnes),source_file,Year,Demersal finfish,None_1,None_2,None_3
Pelagic finfish,Demersal finfish,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
"CLUPEOIDS
Wolf herring 14406
Oil sardine 155450
Lesser sardines 181383
Hilsa shad 20180
Other shads 6882
Anchovies
Coilia 40140
Setipinna 7990
Stolephorus 72792
Thryssa 52822
Other clupeids 52784
Bombay duck 112705
Half Beaks&Full Beaks 7005
Flying Fishes 2029
Ribbon Fishes 193822
CARANGIDS
Horse Mackerel 49010
Scads 130284
Leather-jackets 13947
Other carangids 126755
MACKERELS
Indian mackerel 283896
Other mackerels 2160
SEER FISHES
Scomberomorus commerson 29219
Scomberomorus guttatus 15585
Acanthocybium solandri 381
TUNNIES
Euthynnus affinis 32744
Auxis spp. 16042
Katsuwonus pelamis 23147
Thunnus tonggol 7678
Thunnus albacares 27198
Other tunnies 2910
Bill Fishes 16382
Barracudas 46370
Mullets 5675
Unicorn Cod 84",ELASMOBRANCHS,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Sharks 21154,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Skates/Guitarfish 3740,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Rays 17223,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Eels 11797,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Catfishes 54168,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Lizard Fishes 69936,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,PERCHES,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Rock cods 51433,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Snappers 11668,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Pig-face breams 11985,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Threadfin breams 183518,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Bullseyes 58345,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Other perches 50568,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Goatfishes 18915,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Threadfins 7992,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Croakers 135451,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Silverbellies 78261,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Whitefish 7686,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,POMFRETS,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Black pomfret 15162,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Silver pomfret 20966,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Chinese pomfret 5051,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,FLAT FISHES,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Halibut 1786,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Flounders 81,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Soles 49142,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Crustaceans,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Penaeid prawns 192154,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Non-penaeid prawns 194011,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Lobsters 2224,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Crabs 57354,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Stomatopods 9636,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Molluscs,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,"Mussels, Oysters & Clams# 132531",Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Bivalves 2782,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Gastropods 2773,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Cephalopods,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
Others,,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Squids 119299,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
"Seaweeds# 15930
Odonus niger 72140
MISCELLANEOUS 97811",,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Cuttlefish 85655,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,Octopus 15890,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
,TOTAL 3636075,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
"#The estimates are based on an alternate method and are excluded from the comparisons
made. The comparisons are based on 3487614 tonnes (3636075-15930-132531=3487614)",,Marine%20Fish%20Landings%20in%20India_2018.pdf,,,,,
"• Oil sardine
• Ribbonfishes
• Non-penaeid prawns
• Indian mackerel
• Penaeid prawns
• Cephalopods
• Threadfin breams
• Croakers
• Other sardines
• Scads
• Bombayduck
• Silverbellies",marine_fish_landing_revised.pdf,,,,,,
Group,2013,marine_fish_landing_revised.pdf,,Group,2013,,
