State/UT,Estimated Landings (lakh tonnes),Estimated Landings (tonnes),Year
Tamil Nadu,5.76,576000.0,2020
Gujarat,5.76,576000.0,2020
Tamil Nadu,5.62,562000.0,2020
Kerala,5.55,555000.0,2020
Karnataka,5.51,551000.0,2020
Odisha,1.8,180000.0,2020
Puducherry,0.38,38000.0,2020
Kerala,5.55,555000.0,2020
Kerala,0.65,65000.0,2020
Goa,0.52,52000.0,2020
Tamil Nadu,7.02,702000.0,2018
Gujarat,7.8,780000.0,2018
Tamil Nadu,7.02,702000.0,2018
Kerala,6.43,643000.0,2018
Karnataka,4.52,451999.99999999994,2018
Maharashtra,2.95,295000.0,2018
Andhra Pradesh,1.94,194000.0,2018
West Bengal,1.6,160000.0,2018
Odisha,0.89,89000.0,2018
Daman & Diu,0.68,68000.0,2018
Goa,0.59,59000.0,2018
Puducherry,0.45,45000.0,2018
Karnataka,6.95,695000.0,2022
Kerala,6.87,687000.0,2022
Tamil Nadu,7.22,722000.0,2022
Karnataka,6.95,695000.0,2022
Kerala,6.87,687000.0,2022
Odisha,1.33,133000.0,2022
Odisha,0.81,81000.0,2022
Karnataka,6.95,695000.0,2022
Goa,0.52,52000.0,2022
Maharashtra,1.7,170000.0,2022
Daman & Diu,0.74,74000.0,2022
Kerala,6.33,633000.0,2023
Karnataka,6.04,604000.0,2023
Kerala,6.33,633000.0,2023
Karnataka,6.04,604000.0,2023
West Bengal,1.32,132000.0,2023
Odisha,1.3,130000.0,2023
Tamil Nadu,1.18,118000.0,2015
Tamil Nadu,0.77,77000.0,2015
Tamil Nadu,7.09,709000.0,2015
Andhra Pradesh,2.95,295000.0,2015
Gujarat,4.43,443000.0,2015
Maharashtra,2.65,265000.0,2015
Daman & Diu,11.8,1180000.0,2016
Kerala,11.1,1110000.0,2016
Odisha,1.17,117000.0,2016
Puducherry,0.45,45000.0,2016
Goa,0.61,61000.0,2016
Maharashtra,2.92,292000.0,2016
Gujarat,7.86,786000.0,2017
Kerala,1.25,125000.0,2017
Gujarat,6.55,655000.0,2017
