Species/Group,Landings (tonnes),Year,2,3
Estimated marine fish landings (tonnes) in India 2018,,2018,,
Pelagic finfish,Demersal finfish,2018,,
"CLUPEOIDS
Wolf herring 14406
Oil sardine 155450
Lesser sardines 181383
Hilsa shad 20180
Other shads 6882
Anchovies
Coilia 40140
Setipinna 7990
Stolephorus 72792
Thryssa 52822
Other clupeids 52784
Bombay duck 112705
Half Beaks&Full Beaks 7005
Flying Fishes 2029
Ribbon Fishes 193822
CARANGIDS
Horse Mackerel 49010
Scads 130284
Leather-jackets 13947
Other carangids 126755
MACKERELS
Indian mackerel 283896
Other mackerels 2160
SEER FISHES
Scomberomorus commerson 29219
Scomberomorus guttatus 15585
Acanthocybium solandri 381
TUNNIES
Euthynnus affinis 32744
Auxis spp. 16042
Katsuwonus pelamis 23147
Thunnus tonggol 7678
Thunnus albacares 27198
Other tunnies 2910
Bill Fishes 16382
Barracudas 46370
Mullets 5675
Unicorn Cod 84",ELASMOBRANCHS,2018,,
,Sharks 21154,2018,,
,Skates/Guitarfish 3740,2018,,
,Rays 17223,2018,,
,Eels 11797,2018,,
,Catfishes 54168,2018,,
,Lizard Fishes 69936,2018,,
,PERCHES,2018,,
,Rock cods 51433,2018,,
,Snappers 11668,2018,,
,Pig-face breams 11985,2018,,
,Threadfin breams 183518,2018,,
,Bullseyes 58345,2018,,
,Other perches 50568,2018,,
,Goatfishes 18915,2018,,
,Threadfins 7992,2018,,
,Croakers 135451,2018,,
,Silverbellies 78261,2018,,
,Whitefish 7686,2018,,
,POMFRETS,2018,,
,Black pomfret 15162,2018,,
,Silver pomfret 20966,2018,,
,Chinese pomfret 5051,2018,,
,FLAT FISHES,2018,,
,Halibut 1786,2018,,
,Flounders 81,2018,,
,Soles 49142,2018,,
,Crustaceans,2018,,
,Penaeid prawns 192154,2018,,
,Non-penaeid prawns 194011,2018,,
,Lobsters 2224,2018,,
,Crabs 57354,2018,,
,Stomatopods 9636,2018,,
,Molluscs,2018,,
,"Mussels, Oysters & Clams# 132531",2018,,
,Bivalves 2782,2018,,
,Gastropods 2773,2018,,
,Cephalopods,2018,,
Others,,2018,,
,Squids 119299,2018,,
"Seaweeds# 15930
Odonus niger 72140
MISCELLANEOUS 97811",,2018,,
,Cuttlefish 85655,2018,,
,Octopus 15890,2018,,
,TOTAL 3636075,2018,,
"#The estimates are based on an alternate method and are excluded from the comparisons
made. The comparisons are based on 3487614 tonnes (3636075-15930-132531=3487614)",,2018,,
Estimated marine fish landings (tonnes) in India 2017,,2017,,
Pelagic finfish,Demersal finfish,2017,,
